parcel_id,gt_mask_ct,pred_mask_ct,mean_iou,p_50,r_50,p_70,r_70,p_90,r_90
2344.0,11.0,16.0,0.67,0.5,0.73,0.5,0.73,0.12,0.18
2345.0,38.0,21.0,0.67,0.76,0.42,0.62,0.34,0.1,0.05
2346.0,3.0,2.0,0.46,0.5,0.33,0.5,0.33,0.5,0.33
2347.0,2.0,4.0,0.46,0.25,0.5,0.25,0.5,0.25,0.5
2348.0,13.0,10.0,0.56,0.7,0.54,0.5,0.38,0.1,0.08
2349.0,16.0,9.0,0.67,0.78,0.44,0.44,0.25,0.22,0.12
2350.0,14.0,13.0,0.48,0.62,0.57,0.38,0.36,0.31,0.29
2351.0,9.0,8.0,0.66,0.75,0.67,0.75,0.67,0.38,0.33
2352.0,7.0,6.0,0.58,0.67,0.57,0.67,0.57,0.33,0.29
2353.0,4.0,5.0,0.67,0.6,0.75,0.6,0.75,0.2,0.25
2354.0,13.0,8.0,0.58,0.75,0.46,0.62,0.38,0.0,0.0
2355.0,23.0,21.0,0.48,0.62,0.57,0.52,0.48,0.1,0.09
2356.0,28.0,22.0,0.54,0.59,0.46,0.55,0.43,0.05,0.04
2357.0,39.0,23.0,0.28,0.3,0.18,0.22,0.13,0.04,0.03
2358.0,28.0,9.0,0.52,0.67,0.21,0.56,0.18,0.11,0.04
2359.0,21.0,12.0,0.36,0.42,0.24,0.25,0.14,0.08,0.05
2360.0,26.0,29.0,0.55,0.59,0.65,0.48,0.54,0.24,0.27
2361.0,17.0,20.0,0.37,0.4,0.47,0.25,0.29,0.0,0.0
2362.0,14.0,17.0,0.44,0.41,0.5,0.29,0.36,0.0,0.0
2363.0,20.0,16.0,0.39,0.38,0.3,0.25,0.2,0.0,0.0
2364.0,12.0,12.0,0.51,0.58,0.58,0.58,0.58,0.17,0.17
2365.0,10.0,10.0,0.46,0.5,0.5,0.4,0.4,0.3,0.3
2366.0,8.0,9.0,0.3,0.33,0.38,0.22,0.25,0.11,0.12
2367.0,19.0,10.0,0.49,0.6,0.32,0.5,0.26,0.1,0.05
2368.0,21.0,19.0,0.57,0.68,0.62,0.58,0.52,0.0,0.0
2369.0,46.0,14.0,0.55,0.64,0.2,0.5,0.15,0.0,0.0
2370.0,30.0,23.0,0.47,0.52,0.4,0.43,0.33,0.17,0.13
2371.0,25.0,16.0,0.72,0.81,0.52,0.75,0.48,0.25,0.16
2372.0,15.0,9.0,0.27,0.33,0.2,0.22,0.13,0.11,0.07
2373.0,21.0,16.0,0.41,0.5,0.38,0.38,0.29,0.0,0.0
2374.0,31.0,17.0,0.59,0.65,0.35,0.59,0.32,0.12,0.06
2375.0,7.0,8.0,0.73,0.88,1.0,0.5,0.57,0.0,0.0
2376.0,22.0,31.0,0.25,0.03,0.05,0.0,0.0,0.0,0.0
2377.0,27.0,24.0,0.46,0.54,0.48,0.42,0.37,0.08,0.07
2378.0,13.0,17.0,0.63,0.59,0.77,0.47,0.62,0.24,0.31
2379.0,26.0,19.0,0.43,0.58,0.42,0.32,0.23,0.05,0.04
2380.0,12.0,15.0,0.36,0.27,0.33,0.13,0.17,0.0,0.0
2381.0,13.0,13.0,0.55,0.69,0.69,0.62,0.62,0.08,0.08
