parcel_id,gt_mask_ct,pred_mask_ct,mean_iou,p_50,r_50,p_70,r_70,p_90,r_90
3333.0,17.0,21.0,0.2,0.05,0.06,0.0,0.0,0.0,0.0
3334.0,55.0,27.0,0.55,0.63,0.31,0.52,0.25,0.07,0.04
3335.0,33.0,14.0,0.75,0.86,0.36,0.71,0.3,0.29,0.12
3336.0,39.0,25.0,0.74,0.84,0.54,0.8,0.51,0.2,0.13
3337.0,48.0,23.0,0.54,0.57,0.27,0.48,0.23,0.35,0.17
3338.0,36.0,23.0,0.66,0.74,0.47,0.74,0.47,0.26,0.17
3339.0,35.0,16.0,0.61,0.75,0.34,0.69,0.31,0.06,0.03
3340.0,9.0,12.0,0.53,0.42,0.56,0.42,0.56,0.17,0.22
3341.0,23.0,13.0,0.64,0.62,0.35,0.62,0.35,0.54,0.3
3342.0,25.0,14.0,0.58,0.71,0.4,0.64,0.36,0.21,0.12
3343.0,21.0,21.0,0.59,0.67,0.67,0.67,0.67,0.33,0.33
3344.0,28.0,18.0,0.6,0.72,0.46,0.56,0.36,0.33,0.21
3345.0,23.0,20.0,0.56,0.65,0.57,0.6,0.52,0.25,0.22
3346.0,22.0,17.0,0.7,0.76,0.59,0.76,0.59,0.47,0.36
3347.0,23.0,19.0,0.56,0.68,0.57,0.47,0.39,0.11,0.09
3348.0,15.0,15.0,0.49,0.53,0.53,0.47,0.47,0.2,0.2
3349.0,16.0,12.0,0.66,0.75,0.56,0.67,0.5,0.25,0.19
3350.0,10.0,11.0,0.56,0.64,0.7,0.55,0.6,0.09,0.1
3351.0,5.0,5.0,0.76,0.8,0.8,0.8,0.8,0.6,0.6
3352.0,16.0,15.0,0.62,0.67,0.62,0.67,0.62,0.4,0.38
3353.0,13.0,17.0,0.79,0.71,0.92,0.71,0.92,0.12,0.15
3354.0,22.0,18.0,0.8,0.89,0.73,0.78,0.64,0.61,0.5
3355.0,21.0,22.0,0.67,0.73,0.76,0.64,0.67,0.36,0.38
3356.0,32.0,27.0,0.65,0.78,0.66,0.56,0.47,0.22,0.19
3357.0,16.0,14.0,0.59,0.64,0.56,0.57,0.5,0.43,0.38
3358.0,17.0,14.0,0.54,0.71,0.59,0.43,0.35,0.14,0.12
3359.0,12.0,12.0,0.7,0.83,0.83,0.75,0.75,0.33,0.33
3360.0,14.0,15.0,0.51,0.6,0.64,0.47,0.5,0.07,0.07
3361.0,8.0,8.0,0.69,0.75,0.75,0.62,0.62,0.38,0.38
3362.0,4.0,2.0,0.47,0.5,0.25,0.5,0.25,0.5,0.25
3363.0,16.0,16.0,0.38,0.44,0.44,0.25,0.25,0.06,0.06
3364.0,29.0,19.0,0.69,0.79,0.52,0.68,0.45,0.26,0.17
3365.0,27.0,25.0,0.6,0.64,0.59,0.6,0.56,0.4,0.37
3366.0,23.0,19.0,0.72,0.89,0.74,0.68,0.57,0.32,0.26
3367.0,25.0,16.0,0.72,0.81,0.52,0.69,0.44,0.38,0.24
3368.0,15.0,7.0,0.62,0.71,0.33,0.71,0.33,0.29,0.13
3369.0,14.0,12.0,0.54,0.67,0.57,0.67,0.57,0.0,0.0
3370.0,38.0,19.0,0.61,0.68,0.34,0.58,0.29,0.11,0.05
3371.0,32.0,14.0,0.7,0.86,0.38,0.64,0.28,0.21,0.09
3372.0,16.0,16.0,0.64,0.69,0.69,0.5,0.5,0.25,0.25
3373.0,2.0,24.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0
3374.0,29.0,21.0,0.66,0.81,0.59,0.71,0.52,0.19,0.14
3375.0,21.0,13.0,0.55,0.69,0.43,0.54,0.33,0.15,0.1
3376.0,54.0,26.0,0.69,0.81,0.39,0.65,0.31,0.15,0.07
3377.0,24.0,20.0,0.68,0.8,0.67,0.6,0.5,0.25,0.21
3378.0,33.0,25.0,0.57,0.64,0.48,0.6,0.45,0.28,0.21
3379.0,31.0,20.0,0.55,0.6,0.39,0.55,0.35,0.25,0.16
3380.0,24.0,17.0,0.73,0.94,0.67,0.59,0.42,0.29,0.21
3381.0,41.0,22.0,0.67,0.77,0.41,0.55,0.29,0.41,0.22
3382.0,20.0,15.0,0.57,0.6,0.45,0.6,0.45,0.47,0.35
3383.0,18.0,16.0,0.4,0.44,0.39,0.44,0.39,0.19,0.17
3384.0,28.0,18.0,0.72,0.89,0.57,0.78,0.5,0.22,0.14
3385.0,31.0,23.0,0.75,0.83,0.61,0.78,0.58,0.35,0.26
3386.0,15.0,16.0,0.8,0.88,0.93,0.81,0.87,0.31,0.33
3387.0,16.0,14.0,0.63,0.71,0.62,0.64,0.56,0.29,0.25
3388.0,3.0,2.0,0.36,0.5,0.33,0.5,0.33,0.0,0.0
3389.0,3.0,2.0,0.91,1.0,0.67,1.0,0.67,0.5,0.33
3390.0,9.0,9.0,0.53,0.56,0.56,0.56,0.56,0.33,0.33
3391.0,11.0,9.0,0.78,0.89,0.73,0.89,0.73,0.22,0.18
3392.0,15.0,19.0,0.76,0.68,0.87,0.63,0.8,0.42,0.53
3393.0,12.0,14.0,0.83,0.79,0.92,0.79,0.92,0.43,0.5
3394.0,11.0,10.0,0.65,0.8,0.73,0.7,0.64,0.1,0.09
3395.0,2.0,8.0,0.93,0.25,1.0,0.25,1.0,0.12,0.5
3396.0,14.0,11.0,0.62,0.73,0.57,0.73,0.57,0.27,0.21
3397.0,10.0,7.0,0.67,0.71,0.5,0.71,0.5,0.57,0.4
3398.0,3.0,448.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0
3399.0,6.0,8.0,0.56,0.38,0.5,0.38,0.5,0.0,0.0
3400.0,8.0,9.0,0.54,0.56,0.62,0.56,0.62,0.11,0.12
3401.0,21.0,11.0,0.54,0.64,0.33,0.55,0.29,0.09,0.05
3402.0,43.0,26.0,0.65,0.73,0.44,0.58,0.35,0.35,0.21
3403.0,36.0,28.0,0.7,0.86,0.67,0.68,0.53,0.04,0.03
3404.0,13.0,18.0,0.53,0.44,0.62,0.39,0.54,0.0,0.0
3405.0,20.0,12.0,0.7,0.83,0.5,0.58,0.35,0.25,0.15
3406.0,27.0,22.0,0.52,0.55,0.44,0.5,0.41,0.18,0.15
3407.0,23.0,16.0,0.49,0.56,0.39,0.5,0.35,0.19,0.13
3408.0,45.0,24.0,0.65,0.75,0.4,0.58,0.31,0.21,0.11
3409.0,44.0,30.0,0.57,0.7,0.48,0.53,0.36,0.13,0.09
3410.0,3.0,21.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0
3411.0,11.0,13.0,0.62,0.62,0.73,0.46,0.55,0.31,0.36
3412.0,15.0,14.0,0.61,0.64,0.6,0.64,0.6,0.57,0.53
3413.0,19.0,10.0,0.58,0.6,0.32,0.6,0.32,0.3,0.16
3414.0,24.0,16.0,0.54,0.62,0.42,0.56,0.38,0.19,0.12
3415.0,33.0,20.0,0.61,0.8,0.48,0.5,0.3,0.1,0.06
3416.0,27.0,19.0,0.69,0.79,0.56,0.68,0.48,0.26,0.19
