parcel_id,gt_mask_ct,pred_mask_ct,mean_iou,p_50,r_50,p_70,r_70,p_90,r_90
874.0,22.0,61.0,0.6,0.25,0.68,0.25,0.68,0.08,0.23
875.0,24.0,58.0,0.37,0.17,0.42,0.14,0.33,0.05,0.12
876.0,20.0,50.0,0.48,0.18,0.45,0.14,0.35,0.12,0.3
877.0,28.0,90.0,0.35,0.13,0.43,0.07,0.21,0.01,0.04
878.0,31.0,68.0,0.26,0.1,0.23,0.09,0.19,0.0,0.0
879.0,37.0,61.0,0.45,0.3,0.49,0.26,0.43,0.07,0.11
880.0,11.0,39.0,0.69,0.23,0.82,0.18,0.64,0.05,0.18
881.0,3.0,27.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0
882.0,3.0,24.0,0.46,0.04,0.33,0.04,0.33,0.0,0.0
883.0,8.0,29.0,0.5,0.14,0.5,0.1,0.38,0.07,0.25
884.0,27.0,73.0,0.38,0.16,0.44,0.11,0.3,0.03,0.07
885.0,39.0,39.0,0.21,0.23,0.23,0.15,0.15,0.03,0.03
886.0,24.0,43.0,0.42,0.26,0.46,0.19,0.33,0.07,0.12
887.0,35.0,51.0,0.36,0.25,0.37,0.24,0.34,0.1,0.14
888.0,29.0,43.0,0.32,0.23,0.34,0.16,0.24,0.0,0.0
889.0,12.0,45.0,0.39,0.11,0.42,0.11,0.42,0.04,0.17
890.0,23.0,37.0,0.22,0.14,0.22,0.11,0.17,0.05,0.09
891.0,28.0,61.0,0.42,0.21,0.46,0.16,0.36,0.11,0.25
892.0,14.0,52.0,0.42,0.13,0.5,0.1,0.36,0.04,0.14
893.0,7.0,28.0,0.56,0.14,0.57,0.14,0.57,0.07,0.29
894.0,19.0,34.0,0.61,0.32,0.58,0.32,0.58,0.24,0.42
895.0,13.0,57.0,0.63,0.16,0.69,0.12,0.54,0.07,0.31
896.0,10.0,26.0,0.63,0.31,0.8,0.15,0.4,0.08,0.2
897.0,23.0,58.0,0.4,0.19,0.48,0.14,0.35,0.07,0.17
898.0,27.0,49.0,0.33,0.18,0.33,0.14,0.26,0.06,0.11
899.0,15.0,37.0,0.53,0.24,0.6,0.16,0.4,0.14,0.33
900.0,14.0,39.0,0.55,0.23,0.64,0.18,0.5,0.08,0.21
901.0,18.0,54.0,0.62,0.26,0.78,0.19,0.56,0.04,0.11
902.0,9.0,41.0,0.69,0.15,0.67,0.15,0.67,0.12,0.56
903.0,11.0,44.0,0.49,0.14,0.55,0.11,0.45,0.07,0.27
904.0,6.0,21.0,0.49,0.14,0.5,0.14,0.5,0.14,0.5
905.0,11.0,37.0,0.47,0.14,0.45,0.11,0.36,0.11,0.36
906.0,22.0,70.0,0.47,0.17,0.55,0.14,0.45,0.1,0.32
907.0,19.0,54.0,0.54,0.22,0.63,0.2,0.58,0.06,0.16
908.0,25.0,70.0,0.53,0.21,0.6,0.19,0.52,0.06,0.16
909.0,20.0,71.0,0.59,0.18,0.65,0.15,0.55,0.06,0.2
